REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Martin-Hugues ST-LAURENT","Flexibilité comportementale et démographique des grands mammifères à l'anthropisation des écosystèmes boréaux terrestres","MEES",76952,,,76952,198999,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Espèces vivantes et biotopes","Évolution et écologie"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Marie-Claude VOHL","Laboratoire de recherche en génomique nutritionnelle","MEES",136309,,,136309,341044,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Génétique"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Denis ROY","Biotechnologies des cultures lactiques d'intérêt laitier et probiotiques","MEES",67781,,,67781,169453,"Sciences naturelles et génie","Agroalimentaire","Agriculture","Microbiologie"
"Outaouais","Université du Québec en Outaouais (UQO)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Francine DEMONTIGNY","Chaire de recherche du Canada sur la santé psychosociale des familles - Laboratoire d'évaluation de recherche sur la santé psychosociale des familles","MEES",308757,,,308757,771894,"Sciences sociales et humaines","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Périnatalité"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Bartha Maria KNOPPERS","Chaire de recherche du Canada sur la génomique et les politiques","MEES",56552,,,56552,141380,"Santé","Économie, gestion et gouvernance","Santé","Droit"
"Montréal","Université Concordia","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Alisa PIEKNY","Station d'imagerie réelle pour l'étude in vivo utilisant des organismes modèles et des cellules cultivées de mammifères","MEES",199656,,,199656,499139,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Biologie cellulaire"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Antonio NANCI","Caractérisation fonctionnelle de molécules matricielles dans les tissus calcifiés et de biomatériaux à nanostructure","MEES",182155,,,182155,455389,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie cellulaire"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Nathalie TUFENKJI","Chaire de recherche du Canada sur les biocolloïdes et les surfaces dans les sciences environnementales et biomédicales","MEES",175631,,,175631,439077,"Sciences naturelles et génie","Environnement et science du climat","Génie biomédical et pharmacologie","Génie chimique"
"Estrie","Université de Sherbrooke","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jean-Philippe BELLENGER","Chaire de recherche du Canada sur la biogéochimie: dynamique des nutriments à l'interface sol-plantes","MEES",156618,,,156618,392871,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Environnement (rech. générale)","Multidisciplinaire"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Éric BIRON","Établissement d'un laboratoire de pointe en chimie médicinale et biologique pour l'étude des interactions protéine-protéine d'intérêts thérapeutiques","MSSS",,118381,,118381,304209,"Santé","Biopharmaceutique","Produits pharmaceutiques","Médicaments/sc. Pharm./chimie pharm./effets nocifs des abus"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Chantal GUILLEMETTE","Infrastructure pour l'identification et la quantification ultrasensibles de biomarqueurs","MSSS",,125000,,125000,375992,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Endocrinologie"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","François VÉZINA","Infrastructure pour l'étude de la flexibilité phénotypique et les stratégies d'adaptation physiologique chez les oiseaux non migrateurs vivant en milieux nordiques","MEES",149997,,,149997,374998,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Espèces vivantes et biotopes","Biologie animale"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Marc SERVANT","Chaire de recherche du Canada sur les réseaux de signalisation intracellulaires et la réponse inflammatoire","MEES",55898,,,55898,139744,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie moléculaire"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Jeannie HAGGERTY","Recherche en médecine familiale et communautaire","MSSS",,39947,,39947,99868,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Structures hospitalières et organisation des soins","Recherches sur les services de santé - général"
"Montréal","École de technologie supérieure (ETS)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Ruxandra BOTEZ","Système aérien de recherche (RAS)","MEES",153374,,,153374,384389,"Sciences naturelles et génie","Aérospatiale","Fabrication et réparation de matériel aérospatial","Génie mécanique"
"Montréal","Université Concordia","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Kim MCDONOUGH","Extension du Laboratoire d'acquisition des compétences en groupe (SAGE)","MEES",99828,,,99828,249570,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Enseignement, formation, perfectionnement et recyclage","Linguistique"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Karim BENYEKHLEF","Infrastructure logicielle du Laboratoire sur la cyberjustice","MEES",116886,,,116886,292216,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Organisation politique de la société","Droit"
"Estrie","Université Bishop's","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Madjid ALLILI","Données LIDAR au sol pour la modélisation, la cartographie et l'évaluation de structures naturelles et artificielles","MEES",75896,,,75896,189740,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Exploration et exploitation du milieu terrestre","Technologie de l'information: informatique"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Guillaume ST-ONGE","Infrastructure pour la Chaire de recherche du Canada en géologie marine","MEES",94010,,,94010,235025,"Sciences naturelles et génie","Secteur maritime (sciences de la mer et technologies maritimes)","Mers et océans","Océanographie"
"Montréal","Université de Montréal","Centre de recherche du CHUM - Hôpital St-Luc","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Nathalie GRANDVAUX","Chaire de recherche du Canada sur la signalisation cellulaire, l'infection virale et le cancer","MSSS",,101090,,101090,252724,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie cellulaire"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Carmen DIONNE","Chaire de recherche du Canada en intervention précoce","MEES",39789,25018,,64807,169602,"Sciences sociales et humaines","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Structures et relations sociales (rech. générale)","Psychologie en SHS"
"Estrie","Université de Sherbrooke","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Mark VELLEND","Laboratoire de recherche intégrant l'écologie, la génétique et la conservation","MEES",59837,,,59837,149873,"Sciences naturelles et génie","Environnement et science du climat","Environnement (rech. générale)","Évolution et écologie"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Mathieu BROCHU","Fabrication et évaluation de prototypes nanocristallins aux formes presques définitives","MEES",152274,,,152274,380685,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Technique de production","Science et technologie des matériaux"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Hope WEILER","Chaire de recherche du Canada sur la nutrition, le développement et le vieillissement","MEES",232500,,,232500,581250,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Nutrition"
"Montréal","École Polytechnique de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jamal CHAOUKI","Modélisation de l'hydrodynamique des procédés multiphasiques sous des conditions extrêmes","MEES",399372,,,399372,998680,"Sciences naturelles et génie","Énergie","Ressources renouvelables: production et technologies","Génie chimique"
"Estrie","Université de Sherbrooke","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Momchil VODENITCHAROV","Infrastructure pour l'établissement d'un laboratoire de recherche sur la protection de télomères et la stabilité du génome","MEES",99922,,,99922,252092,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Recherches à caractère général et autres recherches médicales","Biologie moléculaire"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Sami HADDAD","Laboratoire sur les interactions toxicologiques dans les mélanges de xénobiotiques","MEES",173122,,,173122,432835,"Sciences naturelles et génie","Biopharmaceutique","Santé","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Przemyslaw SAPIEHA","Demande d'infrastructure pour l'imagerie et l'analyse génétique des maladies vaso-prolifératives de l'oeil","MSSS",,139756,,139756,349366,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Biologie cellulaire"
"Montréal","Université Concordia","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Roch GLITHO","Chaire de recherche du Canada sur l'ingénierie des services aux utilisateurs finaux pour les réseaux de communication","MEES",98863,,,98863,247159,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Systèmes de télécommunications","Technologie de l'information: informatique"
